DocumentNumber,County,Narrative
20233232864,Franklin County,The crash occurred on E Livingston Avenue approximately 200 feet west of S James Road directly in front of McDonald's. The driver of unit #2 stated he was driving east on E Livingston Avenue in the curb lane. The driver of unit #2 stated the driver of unit #1 was in the passing lane and attempted to turn right (south) from the outside lane into the McDonald's parking lot resulting in unit #2 striking unit #1. The driver of unit #1 stated she was driving east on E Livingston Avenue in the passing (outside lane.) The driver of unit #1 stated she had turn signal on to turn right into the McDonald's. The driver of unit #1 stated she attempted to turn into the McDonald's from the outside lane resulting in unit #2 striking unit #1. The driver of unit #1 stated she believes the driver of unit #2 sped up while she was turning right. The Driver of unit #1 was transported to Grant Hospital by CFD Medic 823 and treated by Dr. Peoples. The front passenger of Unit #1 was tranpsported to Grant Hospital by CFD Medic 23 and treated by Dr. Peoples. Both Units were towed for owner by ProTow. The driver of unit #1 was issued a citation for Improper Right Turn.
20233237550,Franklin County,The collision occurred as Unit #2 was facing westbound at the stop sign.  Driver #2 felt a bump in her rear and turned northbound Westpointe Plaze Dr and pulled into the Taco Bell parking lot.  Driver #1 slowly followed her and signaled as if he were going to pull in behind Unit #2.  Driver #1 then turned westbound onto Westchester Woods Blvd and went northbound on Hilliard-Rome Rd.  Driver #2 describe the driver on Unit #1 as a white male with blue eyes and possibly having an license plate of KED8370.  Driver #2 stated the vehicle was a small black compact car but could not provide any additional information.
20233241464,Franklin County,On 12/27/2023 at approximately 1:39 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 165 was dispatched to 777 W. State St. in response to an auto accident with property damage only. Upon arrival Officer McDonald spoke with the driver of unit #1 who was identified by his Ohio drivers license as Mohamed Haikal. Mr. Haikal stated that he was at S. Davis Ave. and Capital St. traveling N/B when the driver of unit #2 crashed into the rear of his vehicle. Mr. Haikal stated that he believes the driver of unit #2 was speeding and not paying attention. Officer McDonald spoke with the driver of unit #2 who was identified by his Ohio drivers license as Samuel Smith. Mr. Smith stated that he was traveling N/B on S. Davis Ave. at Capital St. and observed the driver of unit #1 stopped in traffic. Mr. Smith stated that the driver of unit #1 backed his vehicle into Mr. Smiths vehicle. Due to the conflicting statements Officer McDonald attempted to review security camera footage 775 W. Broad St. The security footage shows Mr. Haikal backing into Mr. Smith. Mr. Haikal was issued a citation at scene for Backing Without Safety. 
20233242174,Franklin County,Unit #2 (victim) was traveling South on US 62 when he came to a stop at the intersection of US 62 and Eakin rd. As unit #2 was stopped at the intersection Unit #1 (at fault) rear ended unit #2 at about 5 MPH. Unit #1 turned right on Eakin Rd to clear the intersection and Unit #1 continued south on US 62. Unit #1 pulled into the parking lot of a Taco Bell; Unit #2 saw unit #1 pull into the parking lot and followed. Unit #1 originally denied that the accident happened and then told Unit #2 there's no damage and i have no insurance and then drove off. Unit #1 was driven by a Female Black; wearing a black and white nike sweater and sunglasses; she also had a nose ring in her left nostril.  
20233246638,Franklin County,Unit 2 stated he was walking through a crosswalk at the intersection of Cleveland Ave and 5th Ave when he was struck by Unit 1; a white SUV; unknown make; model and license plate. Unit 1 driver pulled over initially but then left the scene before police arrived and before exchanging information. There is video footage of the accident from the Burger King located at 1084 Cleveland Ave. CFD medic 18 treated driver of Unit 2 at scene; injuries unknown. At this time; Officers were unable to determine an at fault party.   
20233251422,Franklin County,On listed time and date Officers were dispatched to the listed location(McDonalds Parking Lot) where the driver of Unit 2 stated; Unit 1 ran into the rear divers side quarter panel with Unit 1's truck tire. The driver of Unit 2 stated that she was sitting in the parking spot at McDonalds when Unit 1 rubbed Unit 2 with its large truck tire while trying to park next to Unit 2. Unit 2 also stated that the drive of Unit 1 did it a second time when he backed out of the spot next to her and fled the scene... The driver of Unit 2 didn't have any description other than a white male driver and a photo of the license plate.
20233252617,Franklin County,Officer arrived at Unit 2 home at the listed date and time. Unit 2 stated she was in the wendys drive thru on Georgesville Rd. Unit 2 stated she was behind Unit 1 in queue to order. Unit 2 stated Unit 1 started backing up his vehicle and struck Unit 2 front bumper. Unit 2 stated they exchanged information out of the auto crash but wanted report from officers as well.
20233253571,Franklin County,Unit 1 turned south bound onto Summit St from the private drive. Unit 2 was traveling south bound on Summit St. Unit 1 merged in to the east most lane on Summit St and began to turn into the Subway Parking lot at 1866 Summit St. Unit 1 struck Unit 2 when Unit 1 merged and began to turn. The driver of Unit 1 stated that she did not see Unit 2. The driver of Unit 1 also stated that she believes that Unit 2 was speeding. The driver of Unit 2 stated that Unit 1 turned onto Summit St from the private drive and then merged in to the east most lane in front of Unit 2 striking Unit 2. The driver of Unit 1 received a citation for changing lanes without safety. No injuries were reported. Both Unit 1 and Unit 2 were towed from the scene. 
20233253826,Franklin County,The driver of Unit #2 stated she was traveling south on Georgesville Rd aproaching Clime rd North. The driver of unit Unit #1 stated she was turning out of the McDonalds exit; making a left hand turn. The driver of Unit #1 stated she did not see Unit #2 and failed to yield from a private drive; pulling out in front of unit #2. The driver of Unit #2 stated she did not have suffiecient time to stop; and rear ended Unit #1. Driver of Unit #1 was driving under suspension; driver of Unit #1 was cited for DUS and Fail to Yield from private drive. Unit #1 was impounded for Driving Under Suspension and taken to the impound lot; and Unit #2 was released.  The driver of unit #1 sutained a minor injury to her nose; and refused medical treatment.  No independent witnesses were available.  
20234044893,Franklin County,UNIT 2 WAS TRAVELING SOUTHBOUND ON AVERY-MUIRFIELD DR. NEAR THE INTERSECTION WITH HOSPITAL DR. UNIT 1 WAS TRAVELING NORTHBOUND ON AVERY-MUIRFIELD DR. ATTEMPTING TO TURN LEFT ONTO HOSPITAL DR. UNIT 1 FAILED TO YIELD RIGHT OF WAY WHILE TURNING LEFT AND WAS STRUCK BY UNIT 2 IN THE INTERSECTION. UNIT 1 THEN LOST CONTROL; HIT THE CURB; RAN OFF THE ROAD TO THE RIGHT; STRUCK A TRAFFIC SIGN AND THEN STRUCK THE SIGN FOR WENDYS.
20234045558,Franklin County,UNIT 1 WAS EASTBOUND EXITING CHIPOTLE; 641 S. STATE ST. UNIT 2 WAS SOUTHBOUND ON SR3 IN THE LEFT THROUGH LANE. UNIT 1 DRIVER STATED SHE TURNED SOUTHBOUND ONTO S. STATE ST. AND WAS STRUCK BY UNIT 2 ON THE FRONT LEFT. UNIT 2 DRIVER STATED HE CHANGED LANES FROM THE LEFT THROUGH LANE TO THE CURB LANE AND WAS STRUCK BY UNIT 1 ON THE RIGHT REAR TIRE AS HE CHANGED LANES. BOTH DRIVERS MOVED THEIR VEHICLES ONTO THE ACCESS ROAD TO THE WESTERVILLE PLAZA PRIOR TO MY ARRIVAL.
20234047655,Franklin County,UNIT 1 WAS SITTING AT THE EXIT TO MCDONALD'S ON THE EAST SIDE OF CLEVELAND AVE.  UNIT 2 WAS DRIVING NORTHBOUND ON CLEVELAND AVE.; DRIVING TOWARDS THE TURN LATE TO GO WEST ON W. MAIN ST.  UNIT 1 FAILED TO YIELD WHEN TURNING OUT OF THE PLAZA.  UNIT 1 MADE A LEFT TURN TO GO SOUTHBOUND ON CLEVELAND AVE.  UNIT 1 AND UNIT 2 COLLIDED WITH EACH OTHER.    UNIT 1 SUSTAINED DAMAGE TO THE DRIVER SIDE DOOR.  THE AIRBAGS ON THE DRIVER SIDE AND REAR PASSENGER SIDE OF THE VEHICLE WERE DEPLOYED.  UNIT 2 SUSTAINED
20234094391,Franklin County,UNIT 1 AND UNIT 2 WERE BOTH TRAVELING SOUTH ON STATE ST. AVE NEAR MCDONALD'S (662 S. STATE ST.). UNIT 1 WAS IN THE TURN LANE TO ENTER MCDONALD'S WHEN HE ATTEMPTED TO ENTER THE MIDDLE LANE TO GO AROUND ANOTHER VEHICLE IN FRONT OF HIM. UNIT 1 FAILED TO ENSURE THIS LANE CHANGE COULD BE MADE SAFELY AND STRUCK THE DRIVER'S SIDE OF UNIT 2 WHO WAS IN THE LANE.
20234182468,Franklin County,UNIT #1 HAD JUST TURNED RIGHT OUT OF MCDONALD'S AND GOING NORTH ON S STATE ST. UNIT #1 WAS TRYING TO CHANGE LANES TO THE LEFT TO GET INTO THE LEFT TURN LANE FOR W SCHROCK RD. UNIT #2 WAS NORTHBOUND IN THE LEFT THROUGH LANE OF S STATE ST. AND WAS ALSO GETTING READY TO CHANGE LANES INTO THE LEFT TURN LANE FOR W SCHROCK RD. UNIT #1 FAILED TO YIELD THE RIGHT-OF-WAY WHEN MERGING LANES AND STRUCK THE RIGHT FRONT OF UNIT #2 WITH THE LEFT REAR OF UNIT #1.
